2,count
MATELUNA,451
TOLOZA,449
SALDAÑA,448
LARRAIN,448
CARICEDO,447
LAZO,446
MILLAN,444
PAILLACAN,443
CORVALAN,440
HALL,438
VIGUERA,437
ESPEJO,436
CARMEN,433
AGURTO,432
ÑANCUPIL,431
ZEPEDA,431
BEIZA,431
JOSEPH,431
IGLESIAS,430
ARANDA,425
ASTETE,424
NAMUNCURA,422
UZABEAGA,421
CONEJEROS,420
ROSAS,420
OBANDO,418
ALVEAL,418
MONTANARES,417
LEMUNAO,416
AROS,415
ALCALDE,415
OLEA,411
CABEZA,410
ASENCIO,410
MONCADA,409
REVECO,408
MELIPILLAN,408
BADILLA,408
TUDELA,408
OÑATE,407
MENARES,406
GALLEGOS,406
MOYANO,406
CAMUS,406
NECULAN,404
MADOZ,404
FALLARD,401
LUCERO,401
GALARCE,400
CARROZZA,399
MARIPAN,397
FRANCOIS,395
CURIN,395
MOSQUERA,395
HIGUERA,395
CABALLERO,394
OLIVOS,394
HUAMAN,393
BALBOA,393
NAVEA,393
SEBASTIANI,393
LIEMPI,393
ROCO,392
CALFUQUEO,387
PINEDA,387
VELOSO,386
VILLAR,386
MEDALLA,385
ORMAZABAL,385
AZOCAR,385
CALQUIN,382
VERDEJO,381
ARNEZ,381
LAGUNA,381
LARENAS,380
UBILLA,379
ANTUNEZ,378
CELEDON,376
ENCINA,374
ANTILLANCA,374
ARAUS,373
SEGOVIA,372
MELIN,370
CAROCA,369
ESCUDERO,369
ALTAMIRANO,369
LIRA,368
SULBARAN,367
ARRIAZA,367
QUINTANILLA,367
SARIEGO,366
MOREIRA,366
LLANOS,365
MARCANO,363
ASCUY,362
APABLAZA,361
ALMENDRAS,360
CAUTIVO,359
ARCOS,359
JAÑA,358
ARAUJO,356
VEAS,356
BALLESTEROS,354
OLMOS,353
PRADEL,352
JELDES,351
LLANCA,351
PRIETO,350
BASCUR,350
MALOS,348
ANTINAO,347
PITRIQUEO,347
VILLASECA,346
COLLIO,346
BUENO,345
PAINE,345
ESTRADA,344
CAQUILPAN,344
CELIS,344
CUADRA,343
CARRIZO,343
MONDACA,342
CHARLES,341
PUNOL,340
OLAVARRIA,339
FRIAS,339
ALBIÑA,338
GORMAZ,337
MERCADO,337
MALUENDA,337
CERPA,336
ZENTENO,334
OPORTO,333
ARCILA,333
VIVEROS,333
RIOSECO,333
PALLANTE,333
ESCARATE,332
REYNOSO,332
PASTENE,332
VICTORIO,330
ACEITUNO,328
GAVILAN,328
HUAIQUIÑIR,326
BETANCOURT,326
MESIAS,325
SOLANO,324
CASAS,324
HUAIQUIMILLA,324
LAJE,323
NIRRIAN,323
CHAUCONO,323
TIZNADO,323
VILCHEZ,322
VALDOVINOS,322
MATAMBA,322
HUENUL,322
BASUALTO,321
ERAZO,320
GARNICA,319
LAMATTA,317
ANTIVIL,316
DUQUE,315
RENGEL,314
BANDA,311
LLEUFO,310
MUJICA,310
CUERVO,310
VILLAROEL,308
CARVACHO,307
VOLLRATH,306
CORRAL,305
COLINA,304
LORCA,304
MURILLO,303
CUARTAS,301
SORIA,301
MAZA,301
ESTEFANIA,300
INDO,300
CRUCES,299
SEVILLANO,298
PUELPAN,298
JURE,297
MERA,296
AVILÉS,296
NILO,296
FREITAS,294
SANZANA,294
ARRUE,294
ESCOBEDO,293
ANRIQUEZ,293
PAEZ,293
JAHNSEN,293
GUAIQUE,290
INZUNZA,290
TENORIO,289
URRIOLA,289
ARIN,289
YEVENES,287
VALDEZ,287
BUCH,287
CAYUPAN,287
LEFIMAN,286
ESPINOSA,283
CESPED,283
HENAO,283
SALFATE,283
ESPINEL,283
LEPILLAN,282
ROGERS,282
MARIQUEO,282
DAMIS,281
ABURTO,281
URDANETA,281
