1,count
REINOSO,242
RONCAGLIOLI,242
HUENCHUL,242
VELOSO,242
CEA,240
FABIO,240
CHAPARRO,240
CANIUÑIR,240
FRITZ,239
AINOL,239
PAINEN,239
ALMENDRA,238
SOTOMAYOR,238
ESCALANTE,238
TILLERIA,238
MARCANO,237
TAMARIN,237
AGUERO,237
VILLACURA,236
GAVILAN,234
ANGULO,233
LOZANO,233
SOL,232
OGUEDA,231
PURROY,230
HUALACAN,230
AZABACHE,230
VIDAURRE,229
TRANGO,229
CARIS,228
ESPEJO,228
SHERMAN,227
CANESSA,227
MONTECINO,226
CALVO,226
VILLABLANCA,226
AUQUILEN,225
ALCOTA,224
BARBOZA,224
TABILO,221
ERAZO,220
ESTARTUS,220
POBEL,220
LAVANDEROS,220
BERLAND,219
SANTAMARIA,219
NOGUERA,219
MARIA,217
GANGA,217
MILLANGUIR,216
PARISACA,216
MUJICA,216
SEPÚLVEDA,216
CAAMAÑO,215
GUMERA,215
VIVAR,215
HUAIQUINAO,215
TRANAMIL,214
RIVADENERIA,214
HUICHIÑIR,214
CAYUPI,213
NIRRIAN,213
NAVIA,213
IRARRAZABAL,212
HUAMAN,212
LLANTEN,211
POVEDA,211
QUINTREQUEO,211
LEMUS,211
ALVIAL,210
PERDOMO,210
MATTA,210
ESCANDAR,209
BLAS,209
HENRICE,209
PIMENTEL,209
VEJAR,208
CAMPO,208
CORTINEZ,208
CATRILEO,207
ARNAIZ,207
SOLANO,207
MELENDEZ,206
PALAVICINO,206
BAHAMONDEZ,205
QUINTERO,205
ALLCCA,205
SOLAR,205
MOYANO,205
ARACENA,205
MARMOLEJO,204
CAJAS,202
FUHROP,202
GIRALDO,202
CARRIL,202
ENCARNACION,201
LAFORTUNE,201
PORTUZE,201
LORR,201
MELLAO,200
CONTRERA,200
JESUS,199
CHACANA,198
CARVACHO,198
MARIMAN,197
CAIHUAN,197
CUELLAR,197
MONJE,196
CORONADO,196
OBREGÓN,195
BETANCOURT,195
ARRAÑO,195
PETERSEN,195
HINOJOSA,194
LIBUY,194
LUZARDO,193
AGUILEF,193
MURILLO,193
CASAS,193
LLANCALEO,192
BUGUEÑO,192
BEIZA,192
TEJOS,191
CARES,190
VILLAROEL,190
BERBESI,190
IBINARRIAGA,189
PASMIÑO,189
R0SALINDO,189
BASOALTO,188
BENITES,187
MACEBO,187
UBILLA,186
TOLOZA,186
LUCO,186
CLAVIN,186
WAINTRAUB,186
ESPINAR,186
ARDILES,186
ANTICAN,185
GILBERTO,184
SAINT,184
VILELA,184
RIFO,184
OLIVERA,184
NECULÑIR,183
LAZARO,183
FRIAS,183
TORREJON,183
QUILPATAY,183
HUICHAMAN,183
FRIZ,182
CABAÑAS,182
ARAGON,182
UTRERAS,182
ALCAMILLA,182
SOLARI,182
ARRIOLA,181
NIRIAN,180
YEVENEZ,180
